product_category_name_english,orders,items_sold,revenue
health_beauty,8836,9670,1258681.34
watches_gifts,5624,5991,1205005.68
bed_bath_table,9417,11115,1036988.68
sports_leisure,7720,8641,988048.97
computers_accessories,6689,7827,911954.32
furniture_decor,6449,8334,729762.49
cool_stuff,3632,3796,635290.85
housewares,5884,6964,632248.66
auto,3897,4235,592720.11
garden_tools,3518,4347,485256.46
toys,3886,4117,483946.6
baby,2885,3065,411764.89
perfumery,3162,3419,399124.87
telephony,4199,4545,323667.53
office_furniture,1273,1691,273960.7
stationery,2311,2517,230943.23
computers,181,203,222963.13
pet_shop,1710,1947,214315.41
musical_instruments,628,680,191498.88
small_appliances,630,679,190648.58
electronics,2550,2767,160246.74
consoles_games,1062,1137,157465.22
fashion_bags_accessories,1864,2031,152823.54
construction_tools_construction,748,929,144677.59
luggage_accessories,1034,1092,140429.98
home_appliances_2,234,238,113317.74
home_construction,490,604,83088.12
home_appliances,764,771,80171.53
agro_industry_and_commerce,182,212,72530.47
furniture_living_room,422,503,68916.56
fixed_telephony,217,264,59583.0
home_confort,397,434,58572.04
air_conditioning,253,297,55024.96
audio,350,364,50688.5
small_appliances_home_oven_and_coffee,75,76,47445.71
books_general_interest,512,553,46856.88
kitchen_dining_laundry_garden_furniture,248,281,46328.37
construction_tools_lights,244,304,41080.0
construction_tools_safety,167,194,40544.52
industry_commerce_and_business,235,268,39669.61
food,450,510,29393.41
market_place,280,311,28378.47
costruction_tools_garden,194,238,25715.89
art,202,209,24202.64
fashion_shoes,240,262,23562.77
drinks,297,379,22428.7
signaling_and_security,140,199,21509.23
furniture_bedroom,95,109,20028.78
books_technical,260,267,19096.06
costruction_tools_tools,97,103,15903.95
food_drink,227,278,15179.48
fashion_male_clothing,112,132,10797.82
fashion_underwear_beach,121,131,9541.55
christmas_supplies,128,153,8800.82
tablets_printing_image,79,83,7528.41
cine_photo,65,72,6933.46
music,38,38,6034.35
dvds_blu_ray,59,64,5999.39
books_imported,53,60,4639.85
party_supplies,39,43,4485.18
furniture_mattress_and_upholstery,38,38,4368.08
fashio_female_clothing,39,48,2803.64
fashion_sport,27,30,2119.51
la_cuisine,13,14,2054.99
arts_and_craftmanship,23,24,1814.01
diapers_and_hygiene,27,39,1567.59
flowers,29,33,1110.04
home_comfort_2,24,30,760.27
cds_dvds_musicals,12,14,730.0
fashion_childrens_clothes,8,8,569.85
security_and_services,2,2,283.29
