order_month,orders,avg_delivery_days,on_time_rate
2016-09,1,54.81,0.0
2016-10,265,19.6,98.87
2016-12,1,4.69,100.0
2017-01,750,12.65,96.93
2017-02,1653,13.17,96.79
2017-03,2546,12.95,94.42
2017-04,2303,14.92,92.14
2017-05,3546,11.32,96.36
2017-06,3135,12.01,96.14
2017-07,3872,11.59,96.57
2017-08,4193,11.15,96.68
2017-09,4150,11.85,94.8
2017-10,4478,11.86,94.71
2017-11,7289,15.16,85.68
2017-12,5513,15.39,91.62
2018-01,7069,14.08,93.44
2018-02,6555,16.95,84.01
2018-03,7003,16.3,78.64
2018-04,6798,11.5,94.69
2018-05,6749,11.42,91.76
2018-06,6099,9.24,98.59
2018-07,6159,8.96,95.47
2018-08,6351,7.73,89.61
