customer_state,total_orders,on_time_rate,avg_delivery_days
AC,80,96.25,21.04
AL,397,76.07,24.54
AM,145,95.86,26.43
AP,67,95.52,27.19
BA,3256,85.96,19.34
CE,1279,84.68,21.27
DF,2080,92.93,12.97
ES,1995,87.77,15.79
GO,1957,91.82,15.61
MA,717,80.33,21.57
MG,11354,94.39,12.01
MS,701,88.45,15.62
MT,886,93.23,18.06
PA,946,87.63,23.77
PB,517,88.97,20.43
PE,1593,89.2,18.45
PI,476,84.03,19.46
PR,4923,95.0,11.99
RJ,12350,86.53,15.31
RN,474,89.24,19.28
RO,243,97.12,19.37
RR,41,87.8,29.39
RS,5345,92.83,15.3
SC,3546,90.24,14.95
SE,335,84.78,21.52
SP,40501,94.09,8.76
TO,274,87.23,17.66
